#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Feb  5 11:38:49 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250101,-73.7,39.5,1
20250101,-73.6,39.5,2
20250101,-73.5,39.5,2
20250101,-73.4,39.5,3
20250101,-73.3,39.5,2
20250101,-73.2,39.5,2
20250101,-73.1,39.5,2
20250101,-72.9,39.5,1
20250101,-72.4,39.5,1
20250101,-70.7,39.5,1
20250101,-70.5,39.5,2
20250101,-70.4,39.5,3
20250101,-70.3,39.5,1
20250101,-70.2,39.5,1
20250101,-68.9,39.5,1
20250101,-68.8,39.5,2
20250101,-68.3,39.5,1
20250101,-65.1,39.5,1
20250101,-64.9,39.5,6
20250101,-64.8,39.5,1
20250101,-64.7,39.5,1
20250101,-62.7,39.5,2
20250101,-62.6,39.5,1
20250101,-62.5,39.5,4
20250101,-62.4,39.5,3
20250101,-74.3,39.3,13
20250101,-74.2,39.3,2
20250101,-74.1,39.3,5
20250101,-73.9,39.3,2
20250101,-73.7,39.3,5
20250101,-73.6,39.3,1
20250101,-73.5,39.3,1
20250101,-73.3,39.3,6
20250101,-72.9,39.3,2
20250101,-72.8,39.3,2
20250101,-72.7,39.3,1
20250101,-72.5,39.3,1
20250101,-70.4,39.3,1
20250101,-70.3,39.3,1
20250101,-70.2,39.3,1
20250101,-70.1,39.3,1
20250101,-68.6,39.3,1
20250101,-68.5,39.3,1
20250101,-68.4,39.3,1
20250101,-65.8,39.3,1
20250101,-65.5,39.3,1
20250101,-65.4,39.3,1
20250101,-65.2,39.3,1
20250101,-64.9,39.3,2
20250101,-64.8,39.3,2
20250101,-63.7,39.3,1
20250101,-62.9,39.3,2
20250101,-62.8,39.3,8
20250101,-62.7,39.3,6
20250101,-62.6,39.3,4
20250101,-62.5,39.3,3
20250101,-61.3,39.3,1
20250101,-60.3,39.3,1
20250101,-58.9,39.3,1
20250101,-58.7,39.3,1
20250101,-58.3,39.3,2
20250101,-58.2,39.3,2
20250101,-57.9,39.3,1
20250101,-76,39.4,2
20250101,-74,39.4,7
20250101,-64,39.4,1
20250101,-76.4,39.4,1
20250101,-76.2,39.4,1
20250101,-76.1,39.4,1
20250101,-75.9,39.4,2
20250101,-75.7,39.4,1
20250101,-75.5,39.4,2
20250101,-74.8,39.4,12
20250101,-74.5,39.4,5
20250101,-74.4,39.4,9
20250101,-74.3,39.4,22
20250101,-74.2,39.4,8
20250101,-74.1,39.4,2
20250101,-73.9,39.4,2
20250101,-73.8,39.4,2
20250101,-73.6,39.4,3
20250101,-73.5,39.4,1
20250101,-73.4,39.4,2
20250101,-73.3,39.4,1
20250101,-73.2,39.4,1
20250101,-72.7,39.4,1
20250101,-72.6,39.4,1
20250101,-71.9,39.4,2
20250101,-70.8,39.4,1
20250101,-60.7,39.1,2
20250101,-59.3,39.1,2
20250101,-59.2,39.1,2
20250101,-58.9,39.1,2
20250101,-58.3,39.1,2
20250101,-75,39.2,1
20250101,-74,39.2,3
20250101,-73,39.2,1
20250101,-63,39.2,3
20250101,-76.3,39.2,1
20250101,-76.2,39.2,1
20250101,-75.8,39.2,1
20250101,-75.7,39.2,2
20250101,-75.6,39.2,1
20250101,-74.9,39.2,1
20250101,-74.6,39.2,3
20250101,-74.4,39.2,8
20250101,-74.3,39.2,28
20250101,-74.2,39.2,3
20250101,-74.1,39.2,9
20250101,-73.7,39.2,3
20250101,-73.6,39.2,2
20250101,-73.3,39.2,3
20250101,-73.1,39.2,1
20250101,-68.6,39.2,1
20250101,-66.9,39.2,1
20250101,-66.4,39.2,1
20250101,-65.6,39.2,1
20250101,-65.4,39.2,1
20250101,-65.2,39.2,8
20250101,-65.1,39.2,1
20250101,-64.9,39.2,1
20250101,-64.8,39.2,1
20250101,-64.2,39.2,1
20250101,-63.8,39.2,1
20250101,-63.2,39.2,2
20250101,-63.1,39.2,2
20250101,-62.9,39.2,3
20250101,-62.8,39.2,2
